sentence,id,1,2,3,4
It is the only month that I can have my holiday in a year and it would be nice in the summer time .,8,0,0,1,0
"At the end , the theatre resturant was closed for holiday !",12,0,0,1,1
I guess I did n't know that she would have said it .,8,0,0,1,0
"As I growed up , T.V was one of the mysteriest things like a telephone and a bus .",4,1,1,1,1
"As I growed up , T.V was one of the mysteriest things like a telephone and a bus .",10,0,1,0,0
"I went to buy the ticket and as I like to enjoy the show near of the stage I bought a £ 20 tiket but when I asked for the discount they told me "" I am sorry but there was an error in the advertisement , It will be impossible to make you a discount "" .",35,1,0,0,0
The home of the future will be very impersonally and the atmosfear will be cold and very essencial .,34,1,1,0,1
"Firstly , Danny Brook and Tina Truelove were supposed to perform in the show but instead of them different actors performed badly .",-2,0,1,0,0
"The group needs to found a good microphone for the concert , because the singer lost his microphone last concert .",-2,1,0,0,0
"I am afraid that I could n't write you immediatly , but last month I enjoyed helping at a pop concert and so I am very busy .",-2,1,1,0,0
"The smokers in the school yard , the buffett and the other pupils , who are sitting in front of their tables writing their homework .",-2,0,1,0,0
"I went to buy the ticket and as I like to enjoy the show near of the stage I bought a £ 20 tiket but when I asked for the discount they told me "" I am sorry but there was an error in the advertisement , It will be impossible to make you a discount "" .",61,1,0,0,0
"To continue with the others information you need , I would prefer to sleep in tent because of the proximity to the nature .",8,1,0,0,1
"First of all the starring that was supposed to be ( Danny Brook and Tina Truelove ) were n't there , I was so enthusiastic about your starring , when I realized was a failure , even though they do good , it was n't the same .",32,0,0,1,0
First of all the car parking is not convinent and expensive .,-2,0,1,0,0
The timer of my radio wakes me up at half past six .,-2,1,0,1,0
"This time , as Katie , her cousin , had told her their friend Bobby had stolen a great camera , but that this was confidential , Pat reacted violently ; why was she told secrets she was unable to keep ?",52,0,1,0,1
"The show has begun later , much more later than your advertisement writes , at about 20:15 .",4,0,0,1,1
"First of all the starring that was supposed to be ( Danny Brook and Tina Truelove ) were n't there , I was so enthusiastic about your starring , when I realized was a failure , even though they do good , it was n't the same .",36,0,0,1,0
I 'm crayz about tennis and swimming .,4,1,1,0,1
"I find the reasonably-priced ticket excellent , because there is a lot of people who went to see only one or two events , and by paying the all events ticket they might see other events and learn about something they did n't expected to find interesting .",84,1,0,0,0
So we tried to stole adult 's panties .,8,1,1,0,1
"First of all the starring that was supposed to be ( Danny Brook and Tina Truelove ) were n't there , I was so enthusiastic about your starring , when I realized was a failure , even though they do good , it was n't the same .",40,0,0,1,1
"The smokers in the school yard , the buffett and the other pupils , who are sitting in front of their tables writing their homework .",26,0,0,1,0
All the best wishes and good luck .,-2,1,0,1,0
"He was very kind to me , we talked many things and after the concert he invited all the team to have a dinner , yes I know what you 're thinking , "" Dinner and Sting "" yes my friend it was the best thing in my life .",-2,1,0,1,0
"Firstly , in your advertisement states : stars and artist from around the world , and this year one only from six countries It would be great if there was more artist not only six .",12,0,1,0,0
"As I have informed you all the fact , I think the show was not worth the money I paid , so I want the refund for £ 15 .",-2,1,1,1,0
"For example if someday I forgot the book , with the internet I can find the book inside it , and more information .",-2,1,1,1,0
"We both know this is not true , or shoud n't be .",18,0,1,1,1
"Then , they really regret it .",13,0,0,1,0
Pat my sister and I felt very rensposible .,10,0,1,0,0
I think it would be interesting to invite young compositors to hear news from the classical music .,-2,1,0,1,0
I would like to know about the weather in the camp area because I do n't know what kinds of clothes I have to bring .,28,0,1,0,0
I would like to assure you that I would do my best to be the one of the winners in your competition .,28,0,1,1,1
"If it is no problem I would rather stay in a lab cabin because I do not like much sleeping on the floor , but if you can not put me there I will be fine anywhere .",-2,1,1,0,0
I think it would be interesting to invite young compositors to hear news from the classical music .,18,0,1,0,1
"Some of them were speaking with her , I was n't this lucky person , but still I 'm happy , that I could be thear .",28,1,0,0,0
We had a lot of fun during our last holidays and we took a lot of pictures .,4,1,0,0,0
Sara remembered the was golden fish .,4,0,0,1,0
"I went to buy the ticket and as I like to enjoy the show near of the stage I bought a £ 20 tiket but when I asked for the discount they told me "" I am sorry but there was an error in the advertisement , It will be impossible to make you a discount "" .",104,1,0,0,1
"Firstly , Danny Brook and Tina Truelove were supposed to perform in the show but instead of them different actors performed badly .",22,1,0,0,0
"We both know this is not true , or shoud n't be .",22,0,0,1,0
"Secondly , despite of your advertisement of the possibility of discounts , when I showed my student identity card to one of your employes she angrily told me that I had to pay the whole prize .",-2,1,1,1,0
We use different electric kettle .,-2,0,1,1,0
After she came home her mother was sitting in front of the TV and looked after the lottery-numbers .,-2,0,1,1,0
"And it will change our lives , also in the future .",12,1,0,0,0
I would like to assure you that I would do my best to be the one of the winners in your competition .,-2,1,0,0,0
It is the only month that I can have my holiday in a year and it would be nice in the summer time .,24,0,1,0,1
"Some people when they are in a sadness , they will go shopping to forget every thing and the fact is that every body knows how to shopping .",12,0,1,0,1
We had a lot of fun during our last holidays and we took a lot of pictures .,-2,0,1,1,0
"First of all the starring that was supposed to be ( Danny Brook and Tina Truelove ) were n't there , I was so enthusiastic about your starring , when I realized was a failure , even though they do good , it was n't the same .",35,0,1,0,0
"While I 'll be at the Camp , I would like to play tennis and swimming .",-2,0,0,1,0
"Firstly , in your advertisement states : stars and artist from around the world , and this year one only from six countries It would be great if there was more artist not only six .",9,1,0,0,0
But I am not very good at golf .,-2,1,1,1,1
"Firstly , in your advertisement states : stars and artist from around the world , and this year one only from six countries It would be great if there was more artist not only six .",2,0,1,0,0
So we tried to stole adult 's panties .,12,1,0,0,1
"I find the reasonably-priced ticket excellent , because there is a lot of people who went to see only one or two events , and by paying the all events ticket they might see other events and learn about something they did n't expected to find interesting .",-2,0,1,0,0
But I always finds it not look nice on me .,-2,1,0,0,0
"If it is no problem I would rather stay in a lab cabin because I do not like much sleeping on the floor , but if you can not put me there I will be fine anywhere .",22,0,0,1,1
Modern technology has changed my daily life very much .,-2,1,1,1,1
"This time , as Katie , her cousin , had told her their friend Bobby had stolen a great camera , but that this was confidential , Pat reacted violently ; why was she told secrets she was unable to keep ?",46,0,0,1,0
"Concerning the dates of the stay , I will only be able to come during the first two weeks of July , because I am starting a new job on July 15th .",-2,0,1,0,1
I 'm crayz about tennis and swimming .,15,0,0,1,0
"Recently I visited an arts festival , organized with your help .",-2,1,0,1,0
I have been playing the classicial guitar for three years .,10,0,1,1,1
All the best wishes and good luck .,0,0,1,0,1
"Firstly , in your advertisement states : stars and artist from around the world , and this year one only from six countries It would be great if there was more artist not only six .",58,0,0,1,1
I enjoyed the festival pretty much .,-2,1,1,1,0
"And it will change our lives , also in the future .",-2,0,1,1,1
Most of us would agree on that .,-2,0,1,1,1
I hope that you can consider my suggestions .,-2,1,1,1,1
After she came home her mother was sitting in front of the TV and looked after the lottery-numbers .,30,1,0,0,1
Because is good time for camping and the weather is lovely at this time of the year .,0,0,1,0,0
"Some people when they are in a sadness , they will go shopping to forget every thing and the fact is that every body knows how to shopping .",16,0,0,1,1
I like going between colourful shelfs and picking some nice things for dinner or for decorating our house with .,-2,0,1,1,0
"If I had the possibility , I would never go shopping to the big supermarkets .",31,0,1,0,0
I 'm sure you 'll find this book an interesting object of study .,1,1,0,0,0
"Some of them were speaking with her , I was n't this lucky person , but still I 'm happy , that I could be thear .",14,1,0,0,0
"That was the end of our holiday , and next year for sure we wo n't be going to the see side .",40,1,1,0,1
To begin with on your advertisment you say that Danny Brooks will be starring the show but instead their was a different actor which made us very disappointed .,-2,1,0,0,0
"Fourthly , after the show the theatre restaurant was closed because of it 's problems .",28,0,1,0,0
"At the end , the theatre resturant was closed for holiday !",-2,1,1,0,0
"For the accommodation , I would prefer a log cabin , because I can not sleep in tent .",-2,1,1,0,0
"In these days people prefere shopping at supermarkets than at shops or even shopping areas , because shopping at shop is less enjoyable and you spent the same amount of money .",8,1,1,1,1
Pat my sister and I felt very rensposible .,1,0,0,1,0
"First of all the starring that was supposed to be ( Danny Brook and Tina Truelove ) were n't there , I was so enthusiastic about your starring , when I realized was a failure , even though they do good , it was n't the same .",82,0,0,1,0
"As I growed up , T.V was one of the mysteriest things like a telephone and a bus .",37,0,1,0,0
"In these days people prefere shopping at supermarkets than at shops or even shopping areas , because shopping at shop is less enjoyable and you spent the same amount of money .",50,0,0,1,1
"Sara could n't understand the fact , that she did n't do the right thing .",3,0,1,0,0
"Some of them were speaking with her , I was n't this lucky person , but still I 'm happy , that I could be thear .",36,1,0,0,0
The home of the future will be very impersonally and the atmosfear will be cold and very essencial .,16,0,1,1,1
Pat my sister and I felt very rensposible .,-2,1,0,0,0
I have always dreamed about going camping and staying in a tent .,6,1,0,0,0
He is funny and easy-going .,-2,1,1,1,0
"If you do n't want to regret about shopping , you have to make a shopping list firstly before going shopping .",37,0,0,1,0
"Some of them were speaking with her , I was n't this lucky person , but still I 'm happy , that I could be thear .",22,0,1,0,0
I guess I did n't know that she would have said it .,7,0,0,1,0
"There is only one bad fhing , that this festival was too short .",10,1,1,1,1
Thank you very much for your time and I am looking forward to visiting there .,-2,1,1,1,1
Most of us would agree on that .,13,1,0,0,0
Because is good time for camping and the weather is lovely at this time of the year .,10,0,0,1,0
"As for the "" Over The Rainbow "" presented by your theatre last night , I would like to inform you of the following problems .",-2,1,1,1,0
"We both know this is not true , or shoud n't be .",16,0,0,1,0
How much money do I have to take with me for these two weeks and what kind of clothes do I have to bring with me ?,-2,0,0,1,1
"To reply your answer , it was realy an nice experience .",16,1,1,0,1
"If you are in a hurry , do n't go shopping !",-2,0,1,1,1
Which was very chooking for her mother .,-2,0,1,0,0
All the best wishes and good luck .,2,0,1,0,1
"You should spend more money on buying clothes and food , you will very happy when you buy it , but , when you come back home take out you purse , you must be feel sad , you purse nearly empty , ( when you do n't have enough money . )",79,0,1,0,0
I guess I did n't know that she would have said it .,-2,0,1,0,0
"However , the students in my class , we have seen an advertisement for the London Fashion and Leisure Show which will be on 14th March between 10.00 to 19.00 at the Central Exhibition Hall , London .",-2,0,1,1,0
"Then , they really regret it .",0,0,0,1,0
It is the only month that I can have my holiday in a year and it would be nice in the summer time .,6,0,0,1,0
"Some of them were speaking with her , I was n't this lucky person , but still I 'm happy , that I could be thear .",50,0,1,1,1
I 'm also good at swimming and surfing but I 'd like to try sailing .,19,0,0,1,0
"You should spend more money on buying clothes and food , you will very happy when you buy it , but , when you come back home take out you purse , you must be feel sad , you purse nearly empty , ( when you do n't have enough money . )",53,0,1,0,0
I would like to know about the weather in the camp area because I do n't know what kinds of clothes I have to bring .,30,0,1,0,0
I 'm also good at swimming and surfing but I 'd like to try sailing .,28,1,0,0,0
"For the accommodation , I would prefer a log cabin , because I can not sleep in tent .",20,0,0,1,0
The timer of my radio wakes me up at half past six .,23,0,1,0,0
"The smokers in the school yard , the buffett and the other pupils , who are sitting in front of their tables writing their homework .",16,1,0,0,1
"Firstly , in your advertisement states : stars and artist from around the world , and this year one only from six countries It would be great if there was more artist not only six .",28,0,1,0,0
In my opinion you should refuse my money because the evening and the show were so terrible .,10,1,0,0,1
"If I had the possibility , I would never go shopping to the big supermarkets .",9,0,1,0,1
"Tina , guess WHO was he ?",6,1,1,1,0
After she came home her mother was sitting in front of the TV and looked after the lottery-numbers .,0,1,0,0,0
"You should spend more money on buying clothes and food , you will very happy when you buy it , but , when you come back home take out you purse , you must be feel sad , you purse nearly empty , ( when you do n't have enough money . )",94,1,1,0,0
"You should spend more money on buying clothes and food , you will very happy when you buy it , but , when you come back home take out you purse , you must be feel sad , you purse nearly empty , ( when you do n't have enough money . )",-2,0,0,1,0
""" It sounds nice but I do n't believe it "" she replied .",-2,1,1,1,0
"We both know this is not true , or shoud n't be .",24,0,0,1,0
It is the only month that I can have my holiday in a year and it would be nice in the summer time .,-2,1,0,0,0
But I always finds it not look nice on me .,6,0,1,1,1
I 'm sure you 'll find this book an interesting object of study .,7,1,0,0,0
"While I 'll be at the Camp , I would like to play tennis and swimming .",4,1,1,0,1
"Firstly , Danny Brook and Tina Truelove were supposed to perform in the show but instead of them different actors performed badly .",16,0,0,1,0
Some people do n't like doing shopping at all and they can well explain to everyone why it is n't enjoyable .,10,0,1,1,0
"You should spend more money on buying clothes and food , you will very happy when you buy it , but , when you come back home take out you purse , you must be feel sad , you purse nearly empty , ( when you do n't have enough money . )",58,0,1,0,1
"However , the students in my class , we have seen an advertisement for the London Fashion and Leisure Show which will be on 14th March between 10.00 to 19.00 at the Central Exhibition Hall , London .",14,1,0,0,1
"If you are in a hurry , do n't go shopping !",15,1,0,0,0
Do you suggest me to take cash or can I used my credit card ?,-2,1,0,0,0
"Fourthly , after the show the theatre restaurant was closed because of it 's problems .",-2,1,0,0,0
Some people do n't like doing shopping at all and they can well explain to everyone why it is n't enjoyable .,22,0,0,1,0
We use different electric kettle .,3,1,0,0,1
"If you do n't want to regret about shopping , you have to make a shopping list firstly before going shopping .",38,0,0,1,0
To begin with on your advertisment you say that Danny Brooks will be starring the show but instead their was a different actor which made us very disappointed .,36,0,1,0,1
"First of all the starring that was supposed to be ( Danny Brook and Tina Truelove ) were n't there , I was so enthusiastic about your starring , when I realized was a failure , even though they do good , it was n't the same .",70,0,0,1,0
The home of the future will be very impersonally and the atmosfear will be cold and very essencial .,22,1,1,1,1
They stopped me to do the operetion .,-2,0,1,0,0
"I went to buy the ticket and as I like to enjoy the show near of the stage I bought a £ 20 tiket but when I asked for the discount they told me "" I am sorry but there was an error in the advertisement , It will be impossible to make you a discount "" .",46,1,0,1,1
We 're looking forward to hearing from you .,-2,1,0,1,1
"If you do n't want to regret about shopping , you have to make a shopping list firstly before going shopping .",-2,0,1,0,0
"I went to buy the ticket and as I like to enjoy the show near of the stage I bought a £ 20 tiket but when I asked for the discount they told me "" I am sorry but there was an error in the advertisement , It will be impossible to make you a discount "" .",92,1,1,0,1
I like going between colourful shelfs and picking some nice things for dinner or for decorating our house with .,4,1,0,0,0
"Concerning the dates of the stay , I will only be able to come during the first two weeks of July , because I am starting a new job on July 15th .",42,1,0,0,0
Because we have a free time on 15 March afternoon .,6,0,0,1,1
I guess I did n't know that she would have said it .,18,1,0,0,0
After she came home her mother was sitting in front of the TV and looked after the lottery-numbers .,7,1,0,0,0
And I can continue my list on this way ... becouse science never stop on one place .,18,0,1,1,0
"I would answer "" yes "" for both questions .",-2,1,1,1,0
It is like if they lose their concience while they are shopping .,-2,0,1,0,0
And I can continue my list on this way ... becouse science never stop on one place .,20,1,0,1,1
"Then , they really regret it .",4,0,0,1,0
"I went to buy the ticket and as I like to enjoy the show near of the stage I bought a £ 20 tiket but when I asked for the discount they told me "" I am sorry but there was an error in the advertisement , It will be impossible to make you a discount "" .",14,1,0,0,0
"Recently I visited an arts festival , organized with your help .",8,0,1,0,0
But it might not be the same everytime .,-2,1,1,1,0
"That was the end of our holiday , and next year for sure we wo n't be going to the see side .",-2,0,0,1,0
Tennis is just something new that I recently discovered and I am still on a beginner level .,4,1,0,0,0
"Sara could n't understand the fact , that she did n't do the right thing .",19,0,1,0,0
"However , the students in my class , we have seen an advertisement for the London Fashion and Leisure Show which will be on 14th March between 10.00 to 19.00 at the Central Exhibition Hall , London .",2,1,0,0,0
First of all the car parking is not convinent and expensive .,5,1,0,0,0
"In these days people prefere shopping at supermarkets than at shops or even shopping areas , because shopping at shop is less enjoyable and you spent the same amount of money .",38,0,0,1,0
"The smokers in the school yard , the buffett and the other pupils , who are sitting in front of their tables writing their homework .",12,0,0,1,0
In my opinion you should refuse my money because the evening and the show were so terrible .,-2,0,1,0,0
We 're looking forward to hearing from you .,10,0,1,0,0
"Then , they really regret it .",6,0,0,1,0
And I can continue my list on this way ... becouse science never stop on one place .,28,0,0,1,1
I guess I did n't know that she would have said it .,20,1,0,0,1
Sara remembered the was golden fish .,6,1,1,0,1
I 'm also good at swimming and surfing but I 'd like to try sailing .,1,0,0,1,0
"What a pity , I thought .",-2,1,1,1,1
"Even if I worked hard on it , I was very surprised of winning just the first prize .",-2,0,0,1,0
In my opinion you should refuse my money because the evening and the show were so terrible .,30,0,0,1,0
"First of all the starring that was supposed to be ( Danny Brook and Tina Truelove ) were n't there , I was so enthusiastic about your starring , when I realized was a failure , even though they do good , it was n't the same .",-2,1,0,0,0
I have always dreamed about going camping and staying in a tent .,11,1,0,0,0
"You should spend more money on buying clothes and food , you will very happy when you buy it , but , when you come back home take out you purse , you must be feel sad , you purse nearly empty , ( when you do n't have enough money . )",76,0,1,0,1
I 'm sure all the things which are based on electronic parts will totally change .,-2,0,1,1,1
"You should spend more money on buying clothes and food , you will very happy when you buy it , but , when you come back home take out you purse , you must be feel sad , you purse nearly empty , ( when you do n't have enough money . )",70,0,1,0,1
I 'm crayz about tennis and swimming .,13,0,0,1,0
How much money do I have to take with me for these two weeks and what kind of clothes do I have to bring with me ?,22,1,1,0,0
"Concerning the dates of the stay , I will only be able to come during the first two weeks of July , because I am starting a new job on July 15th .",8,0,0,1,0
"Some people when they are in a sadness , they will go shopping to forget every thing and the fact is that every body knows how to shopping .",54,1,0,0,1
"Firstly , in your advertisement states : stars and artist from around the world , and this year one only from six countries It would be great if there was more artist not only six .",62,0,0,1,1
They stopped me to do the operetion .,12,1,0,1,1
I would like to know about the weather in the camp area because I do n't know what kinds of clothes I have to bring .,20,1,0,0,0
I 'm also good at swimming and surfing but I 'd like to try sailing .,4,0,0,1,0
"There were so many youngsters at the concert , but because I was the youngest in a helping team so I guess that I was the luckiest at that moment .",-2,1,0,1,0
First of all the car parking is not convinent and expensive .,16,0,0,1,1
"This time , as Katie , her cousin , had told her their friend Bobby had stolen a great camera , but that this was confidential , Pat reacted violently ; why was she told secrets she was unable to keep ?",-2,1,0,0,0
"We both know this is not true , or shoud n't be .",20,0,1,0,1
I 'm sure you 'll find this book an interesting object of study .,8,0,1,0,0
"As I growed up , T.V was one of the mysteriest things like a telephone and a bus .",7,0,1,0,0
"To reply your answer , it was realy an nice experience .",14,0,1,0,1
"We both know this is not true , or shoud n't be .",-2,1,0,0,0
"Fourthly , after the show the theatre restaurant was closed because of it 's problems .",26,0,0,1,1
After she came home her mother was sitting in front of the TV and looked after the lottery-numbers .,28,1,0,0,0
"If I had the possibility , I would never go shopping to the big supermarkets .",-2,1,0,1,0
"The show has begun later , much more later than your advertisement writes , at about 20:15 .",14,0,1,0,1
This are too many negatives points for one evening .,-2,1,0,0,0
"At home is different , each family has its own rules .",-2,0,0,1,0
Tennis is just something new that I recently discovered and I am still on a beginner level .,16,0,0,1,0
To begin with on your advertisment you say that Danny Brooks will be starring the show but instead their was a different actor which made us very disappointed .,10,0,0,1,1
"For the accommodation , I would prefer a log cabin , because I can not sleep in tent .",33,0,0,1,0
"This time , as Katie , her cousin , had told her their friend Bobby had stolen a great camera , but that this was confidential , Pat reacted violently ; why was she told secrets she was unable to keep ?",16,0,1,0,0
"While I 'll be at the Camp , I would like to play tennis and swimming .",14,1,0,0,0
Tennis is just something new that I recently discovered and I am still on a beginner level .,-2,0,1,0,0
"I find the reasonably-priced ticket excellent , because there is a lot of people who went to see only one or two events , and by paying the all events ticket they might see other events and learn about something they did n't expected to find interesting .",86,0,0,1,1
Some people do n't like doing shopping at all and they can well explain to everyone why it is n't enjoyable .,23,0,1,0,0
"Then , they really regret it .",-2,1,1,0,1
"At home is different , each family has its own rules .",8,1,1,0,1
I was really surprise to hear that .,-2,0,1,0,0
Which was very chooking for her mother .,6,1,0,1,1
"We both know this is not true , or shoud n't be .",19,0,1,0,1
"To reply your answer , it was realy an nice experience .",-2,0,0,1,0
"This time , as Katie , her cousin , had told her their friend Bobby had stolen a great camera , but that this was confidential , Pat reacted violently ; why was she told secrets she was unable to keep ?",71,0,0,1,0
"Even if I worked hard on it , I was very surprised of winning just the first prize .",18,1,0,0,0
Some people do n't like doing shopping at all and they can well explain to everyone why it is n't enjoyable .,-2,1,0,0,1
"Fourthly , after the show the theatre restaurant was closed because of it 's problems .",25,0,0,1,1
"As I growed up , T.V was one of the mysteriest things like a telephone and a bus .",30,0,1,0,0
I hope that you will find this composition interesting .,-2,1,1,1,1
"To reply your answer , it was realy an nice experience .",3,0,1,0,0
Some people do n't like doing shopping at all and they can well explain to everyone why it is n't enjoyable .,24,0,0,1,0
We have n't met each other so long time and I 'll tell you more story of this .,-2,1,1,1,0
Some people do n't like doing shopping at all and they can well explain to everyone why it is n't enjoyable .,37,0,0,1,0
Do you suggest me to take cash or can I used my credit card ?,20,0,1,1,1
"However , the students in my class , we have seen an advertisement for the London Fashion and Leisure Show which will be on 14th March between 10.00 to 19.00 at the Central Exhibition Hall , London .",70,1,0,0,0
Some people do n't like doing shopping at all and they can well explain to everyone why it is n't enjoyable .,5,0,0,1,0
Pat my sister and I felt very rensposible .,5,0,0,1,0
"If you do n't want to regret about shopping , you have to make a shopping list firstly before going shopping .",6,1,0,0,0
"To continue with the others information you need , I would prefer to sleep in tent because of the proximity to the nature .",16,0,1,0,0
So we tried to stole adult 's panties .,11,1,0,0,1
Because we have a free time on 15 March afternoon .,-2,1,1,0,0
"First of all the starring that was supposed to be ( Danny Brook and Tina Truelove ) were n't there , I was so enthusiastic about your starring , when I realized was a failure , even though they do good , it was n't the same .",20,0,0,1,0
"This time , as Katie , her cousin , had told her their friend Bobby had stolen a great camera , but that this was confidential , Pat reacted violently ; why was she told secrets she was unable to keep ?",10,0,1,0,0
"Then , they really regret it .",8,0,0,1,0
Because is good time for camping and the weather is lovely at this time of the year .,-2,1,0,0,0
I 'm also good at swimming and surfing but I 'd like to try sailing .,-2,0,1,0,1
"I am afraid that I could n't write you immediatly , but last month I enjoyed helping at a pop concert and so I am very busy .",18,0,0,1,1
I 'm the teacher of that class .,-2,1,1,1,0
"To continue with the others information you need , I would prefer to sleep in tent because of the proximity to the nature .",-2,0,0,1,0
"This time , as Katie , her cousin , had told her their friend Bobby had stolen a great camera , but that this was confidential , Pat reacted violently ; why was she told secrets she was unable to keep ?",40,0,1,0,0
I 'm sure all the things which are based on electronic parts will totally change .,1,1,0,0,0
I have been playing the classicial guitar for three years .,-2,1,0,0,0
"Also , I belonged to golf club when I went to university in Japan .",-2,1,0,1,0
This are too many negatives points for one evening .,8,0,0,1,1
"Sara could n't understand the fact , that she did n't do the right thing .",-2,1,0,1,0
"This time , as Katie , her cousin , had told her their friend Bobby had stolen a great camera , but that this was confidential , Pat reacted violently ; why was she told secrets she was unable to keep ?",4,0,1,0,0
Becouse the computer was more interesting than my friends .,0,1,1,1,0
I was really surprise to hear that .,6,1,0,1,1
I would like to know about the weather in the camp area because I do n't know what kinds of clothes I have to bring .,-2,0,0,1,1
"First of all the starring that was supposed to be ( Danny Brook and Tina Truelove ) were n't there , I was so enthusiastic about your starring , when I realized was a failure , even though they do good , it was n't the same .",56,0,0,1,0
"You should spend more money on buying clothes and food , you will very happy when you buy it , but , when you come back home take out you purse , you must be feel sad , you purse nearly empty , ( when you do n't have enough money . )",25,0,1,0,0
"At home is different , each family has its own rules .",0,0,1,0,0
I 'm sure you 'll find this book an interesting object of study .,-2,0,0,1,1
"Some people when they are in a sadness , they will go shopping to forget every thing and the fact is that every body knows how to shopping .",53,0,1,0,0
It is like if they lose their concience while they are shopping .,6,1,0,0,0
"First of all the starring that was supposed to be ( Danny Brook and Tina Truelove ) were n't there , I was so enthusiastic about your starring , when I realized was a failure , even though they do good , it was n't the same .",87,0,1,0,0
But I always finds it not look nice on me .,9,0,1,0,1
"Some of them were speaking with her , I was n't this lucky person , but still I 'm happy , that I could be thear .",40,1,1,0,0
Pat my sister and I felt very rensposible .,14,0,1,1,1
"As I growed up , T.V was one of the mysteriest things like a telephone and a bus .",35,0,1,0,0
I was so excited that I could n't believe .,-2,1,1,1,0
It is like if they lose their concience while they are shopping .,14,1,0,1,1
"Even if I worked hard on it , I was very surprised of winning just the first prize .",28,0,1,0,1
I guess I did n't know that she would have said it .,6,0,0,1,0
"Also , I belonged to golf club when I went to university in Japan .",2,0,1,0,0
"Except these two things , it was quite good .",-2,1,1,1,0
"The group needs to found a good microphone for the concert , because the singer lost his microphone last concert .",35,0,1,0,0
"If I had the possibility , I would never go shopping to the big supermarkets .",29,0,1,0,0
I have always dreamed about going camping and staying in a tent .,20,0,0,1,0
"The group needs to found a good microphone for the concert , because the singer lost his microphone last concert .",8,0,1,1,1
We had a lot of fun during our last holidays and we took a lot of pictures .,18,1,0,0,1
"I went to buy the ticket and as I like to enjoy the show near of the stage I bought a £ 20 tiket but when I asked for the discount they told me "" I am sorry but there was an error in the advertisement , It will be impossible to make you a discount "" .",30,1,0,0,1
"There were so many youngsters at the concert , but because I was the youngest in a helping team so I guess that I was the luckiest at that moment .",16,0,1,0,0
"He was very kind to me , we talked many things and after the concert he invited all the team to have a dinner , yes I know what you 're thinking , "" Dinner and Sting "" yes my friend it was the best thing in my life .",48,0,1,0,1
"If you do n't want to regret about shopping , you have to make a shopping list firstly before going shopping .",18,1,0,0,0
This are too many negatives points for one evening .,0,0,1,1,1
I would like to know about the weather in the camp area because I do n't know what kinds of clothes I have to bring .,36,0,1,0,0
"The show has begun later , much more later than your advertisement writes , at about 20:15 .",-2,1,0,0,0
"This time , as Katie , her cousin , had told her their friend Bobby had stolen a great camera , but that this was confidential , Pat reacted violently ; why was she told secrets she was unable to keep ?",60,0,1,0,0
I would like to know about the weather in the camp area because I do n't know what kinds of clothes I have to bring .,29,0,1,0,0
"As I growed up , T.V was one of the mysteriest things like a telephone and a bus .",20,1,1,0,1
I wonder if you could tell me about the wheather and what kind of clothes I have to bring with me .,18,1,1,1,1
I have always dreamed about going camping and staying in a tent .,-2,0,1,0,1
"First of all the starring that was supposed to be ( Danny Brook and Tina Truelove ) were n't there , I was so enthusiastic about your starring , when I realized was a failure , even though they do good , it was n't the same .",93,0,1,0,0
So we tried to stole adult 's panties .,-2,0,0,1,0
